Date,cboe_vix
01-03-2016,14.28
01-04-2016,14.30
01-05-2016,14.85
01-06-2016,17.77
01-07-2016,13.16
01-08-2016,12.40
01-09-2016,14.22
01-10-2016,14.59
01-11-2016,15.24
01-12-2016,12.47
01-01-2017,11.61
01-02-2017,11.53
01-03-2017,11.90
01-04-2017,13.14
01-05-2017,10.86
01-06-2017,10.51
01-07-2017,10.26
01-08-2017,11.98
01-09-2017,10.44
01-10-2017,10.13
01-11-2017,10.54
01-12-2017,10.26
01-01-2018,11.06
01-02-2018,22.46
01-03-2018,19.02
01-04-2018,18.27
01-05-2018,14.12
01-06-2018,13.68
01-07-2018,13.15
01-08-2018,12.55
01-09-2018,12.91
01-10-2018,19.35
01-11-2018,19.39
01-12-2018,24.95
01-01-2019,19.57
01-02-2019,15.23
01-03-2019,14.49
01-04-2019,12.95
01-05-2019,16.72
01-06-2019,15.84
01-07-2019,13.31
01-08-2019,18.98
01-09-2019,15.56
01-10-2019,15.47
01-11-2019,12.52
01-12-2019,13.76
01-01-2020,13.94
01-02-2020,19.63
01-03-2020,57.74
01-04-2020,41.45
01-05-2020,30.90
01-06-2020,31.12
01-07-2020,26.84
01-08-2020,22.89
01-09-2020,27.65
01-10-2020,29.44
01-11-2020,25.00
01-12-2020,22.37
01-01-2021,24.91
01-02-2021,23.14
01-03-2021,21.84
01-04-2021,17.42
01-05-2021,19.76
01-06-2021,16.96
01-07-2021,17.60
01-08-2021,17.47
01-09-2021,19.82
01-10-2021,17.87
01-11-2021,18.50
01-12-2021,21.35
01-01-2022,23.18
01-02-2022,25.75
01-03-2022,26.97
01-04-2022,24.37
01-05-2022,29.31
01-06-2022,28.23
01-07-2022,25.00
01-08-2022,22.17
01-09-2022,27.34
01-10-2022,30.01
01-11-2022,23.30
01-12-2022,21.78
01-01-2023,20.17
01-02-2023,20.12
01-03-2023,21.64
01-04-2023,17.82
01-05-2023,17.64
01-06-2023,14.00
01-07-2023,13.93
01-08-2023,15.85
01-09-2023,15.17
01-10-2023,18.89
01-11-2023,14.02
01-12-2023,12.72
01-01-2024,13.39
01-02-2024,13.98
01-03-2024,13.79
01-04-2024,16.14
01-05-2024,13.06
01-06-2024,12.67
01-07-2024,14.37
01-08-2024,19.31
01-09-2024,17.66
01-10-2024,19.96
01-11-2024,16.02
01-12-2024,15.87
01-01-2025,16.76
01-02-2025,16.97
01-03-2025,21.84
01-04-2025,31.97
01-05-2025,20.46
01-06-2025,18.40
01-07-2025,16.38
01-08-2025,15.75
01-09-2025,15.79
01-10-2025,18.09
01-11-2025,19.77
01-12-2025,15.55
01-01-2026,16.18
01-02-2026,19.21
01-03-2026,24.54
