Date,fed_rate,
01-02-2016,0.0038,
01-03-2016,0.0036,
01-04-2016,0.0037,
01-05-2016,0.0037,
01-06-2016,0.0038,
01-07-2016,0.0039,
01-08-2016,0.004,
01-09-2016,0.004,
01-10-2016,0.004,
01-11-2016,0.0041,
01-12-2016,0.0054,
01-01-2017,0.0065,
01-02-2017,0.0066,
01-03-2017,0.0079,
01-04-2017,0.009,
01-05-2017,0.0091,
01-06-2017,0.0104,
01-07-2017,0.0115,
01-08-2017,0.0116,
01-09-2017,0.0115,
01-10-2017,0.0115,
01-11-2017,0.0116,
01-12-2017,0.013,
01-01-2018,0.0141,
01-02-2018,0.0142,
01-03-2018,0.0151,
01-04-2018,0.0169,
01-05-2018,0.017,
01-06-2018,0.0182,
01-07-2018,0.0191,
01-08-2018,0.0191,
01-09-2018,0.0195,
01-10-2018,0.0219,
01-11-2018,0.022,
01-12-2018,0.0227,
01-01-2019,0.024,
01-02-2019,0.024,
01-03-2019,0.0241,
01-04-2019,0.0242,
01-05-2019,0.0239,
01-06-2019,0.0238,
01-07-2019,0.024,
01-08-2019,0.0213,
01-09-2019,0.0204,
01-10-2019,0.0183,
01-11-2019,0.0155,
01-12-2019,0.0155,
01-01-2020,0.0155,
01-02-2020,0.0158,
01-03-2020,0.0065,
01-04-2020,0.0005,
01-05-2020,0.0005,
01-06-2020,0.0008,
01-07-2020,0.0009,
01-08-2020,0.001,
01-09-2020,0.0009,
01-10-2020,0.0009,
01-11-2020,0.0009,
01-12-2020,0.0009,
01-01-2021,0.0009,
01-02-2021,0.0008,
01-03-2021,0.0007,
01-04-2021,0.0007,
01-05-2021,0.0006,
01-06-2021,0.0008,
01-07-2021,0.001,
01-08-2021,0.0009,
01-09-2021,0.0008,
01-10-2021,0.0008,
01-11-2021,0.0008,
01-12-2021,0.0008,
01-01-2022,0.0008,
01-02-2022,0.0008,
01-03-2022,0.002,
01-04-2022,0.0033,
01-05-2022,0.0077,
01-06-2022,0.0121,
01-07-2022,0.0168,
01-08-2022,0.0233,
01-09-2022,0.0256,
01-10-2022,0.0308,
01-11-2022,0.0378,
01-12-2022,0.041,
01-01-2023,0.0433,
01-02-2023,0.0457,
01-03-2023,0.0465,
01-04-2023,0.0483,
01-05-2023,0.0506,
01-06-2023,0.0508,
01-07-2023,0.0512,
01-08-2023,0.0533,
01-09-2023,0.0533,
01-10-2023,0.0533,
01-11-2023,0.0533,
01-12-2023,0.0533,
01-01-2024,0.0533,
01-02-2024,0.0533,
01-03-2024,0.0533,
01-04-2024,0.0533,
01-05-2024,0.0533,
01-06-2024,0.0533,
01-07-2024,0.0533,
01-08-2024,0.0533,
01-09-2024,0.0513,
01-10-2024,0.0483,
01-11-2024,0.0464,
01-12-2024,0.0448,
01-01-2025,0.0433,
01-02-2025,0.0433,
01-03-2025,0.0433,
01-04-2025,0.0433,
01-05-2025,0.0433,
01-06-2025,0.0433,
01-07-2025,0.0433,
01-08-2025,0.0433,
01-09-2025,0.0422,
01-10-2025,0.0409,
01-11-2025,0.0388,
01-12-2025,0.0372,
01-01-2026,0.0364,
01-02-2026,0.0364,
